name,label,type,name_new,construct,self_reported,longitudinal,unit,include
id,NA,design,id,id,FALSE,FALSE,person,TRUE
study,NA,design,study,,,,,
scaled_to.x,NA,design,scaled_to.x,,,,,
agreeableness,NEO agreeableness-ROS,personality,agreeableness,,,,,
conscientiousness,Conscientiousness-ROS/MAP,personality,conscientiousness,,,,,
extraversion,NEO extraversion-ROS/MAP,personality,extraversion,,,,,
neo_altruism,NEO altruism scale-MAP,personality,neo_altruism,,,,,
neo_conscientiousness,NEO conscientiousness-MAP,personality,neo_conscientiousness,,,,,
neo_trust,NEO trust-MAP,personality,neo_trust,,,,,
openness,NEO openess-ROS,personality,openness,,,,,
anxiety_10items,Anxiety-10 item version - ROS and MAP,personality,anxiety_10items,,,,,
neuroticism_12,Neuroticism - 12 item version-RMM,personality,neuroticism_12,,,,,
neuroticism_6,Neuroticism - 6 item version - RMM,personality,neuroticism_6,,,,,
age_bl,Age at baseline,demographic,age_bl,age,FALSE,FALSE,year,TRUE
age_death,Age at death,demographic,age_death,age,FALSE,FALSE,year,TRUE
died,Indicator of death,demographic,died,age,FALSE,FALSE,category,TRUE
educ,Years of education,demographic,edu,education,TRUE,FALSE,years,TRUE
msex,Gender,demographic,female,sex,FALSE,FALSE,category,TRUE
race,Participant's race,demographic,race,race,TRUE,FALSE,category,TRUE
spanish,Spanish/Hispanic origin,demographic,spanish,race,TRUE,FALSE,category,TRUE
apoe_genotype,ApoE genotype,clinical,apoe,apoe,FALSE,FALSE,scale,TRUE
ldai_bl,Lifetime daily alcohol intake -baseline,substance,alco_life,alcohol,TRUE,FALSE,drinks/day,
q3smo_bl,Smoking quantity-baseline,substance,q3smo_bl,smoking,TRUE,FALSE,cigarettes / day,
q4smo_bl,Smoking duration-baseline,substance,q4smo_bl,smoking,TRUE,FALSE,years,
smoke_bl,Smoking at baseline,substance,smoke_bl,smoking,TRUE,FALSE,category,
smoking,Smoking,substance,smoking,smoking,TRUE,FALSE,category,
fu_year,Follow-up year,design,full_year,time,FALSE,TRUE,time point,TRUE
scaled_to.y,No label found in codebook,design,scaled_to.y,data_set,FALSE,TRUE,category,TRUE
cesdsum,CESD-Measure of depressive symptoms,psychological,cesdsum,depression,TRUE,TRUE,symptom,TRUE
r_depres,Major depression dx-clinic rating,psychological,r_depres,depression,FALSE,TRUE,1-higly probably;2-probable;3-possible; 4-not present,TRUE
intrusion,Negative social exchange; higher values mean more intrusive social experiences,psychological,intrusion,negative_social,TRUE,TRUE,scale,
neglifeevents,Negative life events; higher values mean more NLE,psychological,neglifeevents,negative_life_events,TRUE,TRUE,scale,TRUE
negsocexchange,Negative social exchange; higher values mean more negative social experiences,psychological,negsocexchange,negative_social,TRUE,TRUE,scale,
nohelp,Negative social exchange; higher values mean less helpful experiences,psychological,nohelp,negative_social,TRUE,TRUE,scale,
